date,symbol,close,source
2026-09-01,^DJI,52766.88,wind_export
2026-09-01,^FCHI,8301.85,wind_export
2026-09-01,^FTSE,10789.28,wind_export
2026-09-01,^GDAXI,25970.11,wind_export
2026-09-01,^GSPC,7631.47,wind_export
2026-09-01,^IXIC,26099.77,wind_export
2026-09-02,^DJI,53061.95,wind_export
2026-09-02,^FCHI,8280.63,wind_export
2026-09-02,^FTSE,10756.45,wind_export
2026-09-02,^GDAXI,25839.33,wind_export
2026-09-02,^GSPC,7666.6,wind_export
2026-09-02,^IXIC,26217.83,wind_export
2026-09-03,^DJI,53686.11,wind_export
2026-09-03,^FCHI,8286.4,wind_export
2026-09-03,^FTSE,10831.52,wind_export
2026-09-03,^GDAXI,26003.32,wind_export
2026-09-03,^GSPC,7747.71,wind_export
2026-09-03,^IXIC,26584.06,wind_export
2026-09-04,^DJI,53414.25,wind_export
2026-09-04,^FCHI,8278.77,wind_export
2026-09-04,^FTSE,10831.09,wind_export
2026-09-04,^GDAXI,26046.4,wind_export
2026-09-04,^GSPC,7718.6,wind_export
2026-09-04,^IXIC,26506.99,wind_export
2026-09-07,^FCHI,8306.15,wind_export
2026-09-07,^FTSE,10822.13,wind_export
2026-09-07,^GDAXI,26006.53,wind_export
2026-09-08,^DJI,52786.07,wind_export
2026-09-08,^FCHI,8317.98,wind_export
2026-09-08,^FTSE,10811.66,wind_export
2026-09-08,^GDAXI,26007.63,wind_export
2026-09-08,^GSPC,7673.52,wind_export
2026-09-08,^IXIC,26421.41,wind_export
2026-09-09,^DJI,52380.66,wind_export
2026-09-09,^FCHI,8156.67,wind_export
2026-09-09,^FTSE,10670.06,wind_export
2026-09-09,^GDAXI,25576.45,wind_export
2026-09-09,^GSPC,7636.36,wind_export
2026-09-09,^IXIC,26253.34,wind_export
2026-09-10,^DJI,52064.1,wind_export
2026-09-10,^FCHI,8116.76,wind_export
2026-09-10,^FTSE,10608.92,wind_export
2026-09-10,^GDAXI,25361.15,wind_export
2026-09-10,^GSPC,7591.7,wind_export
2026-09-10,^IXIC,26081.72,wind_export
2026-09-11,^DJI,52573.29,wind_export
2026-09-11,^FCHI,8179.77,wind_export
2026-09-11,^FTSE,10650.44,wind_export
2026-09-11,^GDAXI,25568.56,wind_export
2026-09-11,^GSPC,7656.98,wind_export
2026-09-11,^IXIC,26333.04,wind_export
2026-09-14,^DJI,52421.2,wind_export
2026-09-14,^FCHI,8117.78,wind_export
2026-09-14,^FTSE,10697.57,wind_export
2026-09-14,^GDAXI,25440.81,wind_export
2026-09-14,^GSPC,7619.98,wind_export
2026-09-14,^IXIC,26186.41,wind_export
2026-09-15,^DJI,52093.11,wind_export
2026-09-15,^FCHI,8090.28,wind_export
2026-09-15,^FTSE,10658.13,wind_export
2026-09-15,^GDAXI,25402.28,wind_export
2026-09-15,^GSPC,7585.73,wind_export
2026-09-15,^IXIC,25981.57,wind_export
2026-09-16,^DJI,51461.9,wind_export
2026-09-16,^FCHI,8140.59,wind_export
2026-09-16,^FTSE,10688.47,wind_export
2026-09-16,^GDAXI,25537.75,wind_export
2026-09-16,^GSPC,7551.81,wind_export
2026-09-16,^IXIC,25978.42,wind_export
2026-09-17,^DJI,51778.04,wind_export
2026-09-17,^FCHI,8186.93,wind_export
2026-09-17,^FTSE,10816.14,wind_export
2026-09-17,^GDAXI,25716.71,wind_export
2026-09-17,^GSPC,7637.76,wind_export
2026-09-17,^IXIC,26418.3,wind_export
2026-09-18,^DJI,51682.64,wind_export
2026-09-18,^FCHI,8065.02,wind_export
2026-09-18,^FTSE,10659.13,wind_export
2026-09-18,^GDAXI,25304.06,wind_export
2026-09-18,^GSPC,7650.5,wind_export
2026-09-18,^IXIC,26522.55,wind_export
2026-09-21,^DJI,52048.83,wind_export
2026-09-21,^FCHI,8138.94,wind_export
2026-09-21,^FTSE,10739.01,wind_export
2026-09-21,^GDAXI,25575.01,wind_export
2026-09-21,^GSPC,7764.7,wind_export
2026-09-21,^IXIC,27122.09,wind_export
2026-09-22,^DJI,51863.69,wind_export
2026-09-22,^FCHI,8154.91,wind_export
2026-09-22,^FTSE,10708.33,wind_export
2026-09-22,^GDAXI,25578.85,wind_export
2026-09-22,^GSPC,7764.64,wind_export
2026-09-22,^IXIC,27244.28,wind_export
2026-09-23,^DJI,51511.59,wind_export
2026-09-23,^FCHI,8123.41,wind_export
2026-09-23,^FTSE,10705.26,wind_export
2026-09-23,^GDAXI,25410.63,wind_export
2026-09-23,^GSPC,7706.03,wind_export
2026-09-23,^IXIC,26936.04,wind_export
2026-09-24,^DJI,51349.98,wind_export
2026-09-24,^FCHI,8081.43,wind_export
2026-09-24,^FTSE,10679.99,wind_export
2026-09-24,^GDAXI,25266.53,wind_export
2026-09-24,^GSPC,7704.13,wind_export
2026-09-24,^IXIC,26939.37,wind_export
2026-09-25,^DJI,51828.62109,yahoo_daily
2026-09-25,^FCHI,8077.8,yahoo_quote
2026-09-25,^FTSE,10695.25,yahoo_daily
2026-09-25,^GDAXI,25408.64,yahoo_quote
2026-09-25,^GSPC,7743.410156,yahoo_daily
2026-09-25,^IXIC,27068.7168,yahoo_daily
